StartingAddress	NumberOfRegisters	Functions	Type	Parameter	ID	Name	Index	Unit/ValueTable	Values	Min	Max	UserLevel	ExpertLevel
8680	1	04	s16	BOI.soll_temperatur	507	Temperature setpoint	DHWC 6	1/10°C				read	read
8681	1	04	s16	BOI.soll_temperatur	507	Temperature setpoint	DHWC 7	1/10°C				read	read
8682	1	04	s16	BOI.soll_temperatur	507	Temperature setpoint	DHWC 8	1/10°C				read	read
8683	1	04	s16	BOI.soll_temperatur	507	Temperature setpoint	DHWC 9	1/10°C				read	read
8684	1	04	s16	BOI.soll_temperatur	507	Temperature setpoint	DHWC 10	1/10°C				read	read
8685	1	04	s16	BOI.soll_temperatur	507	Temperature setpoint	DHWC 11	1/10°C				read	read
8686	1	04	s16	BOI.soll_temperatur	507	Temperature setpoint	DHWC 12	1/10°C				read	read
8687	1	04	s16	BOI.soll_temperatur	507	Temperature setpoint	DHWC 13	1/10°C				read	read
8688	1	04	s16	BOI.soll_temperatur	507	Temperature setpoint	DHWC 14	1/10°C				read	read
8692	1	04	s16	BOI.status	513	Status	DHWC 1	boiler_status_t	0-Fault, 1-Off, ... (+13)			read	read
8693	1	04	s16	BOI.status	513	Status	DHWC 2	boiler_status_t	0-Fault, 1-Off, ... (+13)			read	read
8694	1	04	s16	BOI.status	513	Status	DHWC 3	boiler_status_t	0-Fault, 1-Off, ... (+13)			read	read
8695	1	04	s16	BOI.status	513	Status	DHWC 4	boiler_status_t	0-Fault, 1-Off, ... (+13)			read	read
8696	1	04	s16	BOI.status	513	Status	DHWC 5	boiler_status_t	0-Fault, 1-Off, ... (+13)			read	read
8697	1	04	s16	BOI.status	513	Status	DHWC 6	boiler_status_t	0-Fault, 1-Off, ... (+13)			read	read
8698	1	04	s16	BOI.status	513	Status	DHWC 7	boiler_status_t	0-Fault, 1-Off, ... (+13)			read	read
8699	1	04	s16	BOI.status	513	Status	DHWC 8	boiler_status_t	0-Fault, 1-Off, ... (+13)			read	read
8700	1	04	s16	BOI.status	513	Status	DHWC 9	boiler_status_t	0-Fault, 1-Off, ... (+13)			read	read
8701	1	04	s16	BOI.status	513	Status	DHWC 10	boiler_status_t	0-Fault, 1-Off, ... (+13)			read	read
8702	1	04	s16	BOI.status	513	Status	DHWC 11	boiler_status_t	0-Fault, 1-Off, ... (+13)			read	read
8703	1	04	s16	BOI.status	513	Status	DHWC 12	boiler_status_t	0-Fault, 1-Off, ... (+13)			read	read
8704	1	04	s16	BOI.status	513	Status	DHWC 13	boiler_status_t	0-Fault, 1-Off, ... (+13)			read	read
8705	1	04	s16	BOI.status	513	Status	DHWC 14	boiler_status_t	0-Fault, 1-Off, ... (+13)			read	read
9433	1	04	s16	BOI.i_ist_temperatur_2.value	1403	Temperature 2 (value)	DHWC 1	1/10°C				read	read
